nohup: ignoring input
[2020-02-11 21:54:29,721: INFO/MainProcess] Connected to amqp://guest:**@127.0.0.1:5672//
[2020-02-11 21:54:30,737: INFO/MainProcess] mingle: searching for neighbors
[2020-02-11 21:54:32,771: INFO/MainProcess] mingle: all alone
[2020-02-11 21:54:32,798: WARNING/MainProcess] /home/soul/tools/my_env/Vbox/lib/python3.6/site-packages/celery/fixups/django.py:203: UserWarning: Using settings.DEBUG leads to a memory
            leak, never use this setting in production environments!
  leak, never use this setting in production environments!''')
[2020-02-11 21:54:32,798: INFO/MainProcess] celery@master ready.
[2020-02-11 21:54:33,795: INFO/MainProcess] pidbox: Connected to amqp://guest:**@127.0.0.1:5672//.
[2020-02-11 21:55:00,333: INFO/MainProcess] Received task: tools.logs.event_log[695779c3-618a-4b0d-8b42-11aa2ae03561]  
[2020-02-11 21:55:00,343: INFO/MainProcess] Task tools.logs.event_log[695779c3-618a-4b0d-8b42-11aa2ae03561] succeeded in 0.008304586983285844s: None
[2020-02-11 21:55:00,490: INFO/MainProcess] Received task: tools.logs.event_log[916caa66-b3f7-44a1-abcd-f4798369b279]  
[2020-02-11 21:55:00,501: INFO/MainProcess] Task tools.logs.event_log[916caa66-b3f7-44a1-abcd-f4798369b279] succeeded in 0.00911678303964436s: None
[2020-02-11 21:55:02,499: INFO/MainProcess] Received task: tools.logs.event_log[cfc0c50b-b3a1-41a9-90ff-50aa2ded89df]  
[2020-02-11 21:55:02,504: INFO/MainProcess] Task tools.logs.event_log[cfc0c50b-b3a1-41a9-90ff-50aa2ded89df] succeeded in 0.004177447990514338s: None
[2020-02-11 21:58:30,527: INFO/MainProcess] Received task: tools.logs.event_log[07c155d5-6e91-4df3-bd66-f47074fb7e24]  
[2020-02-11 21:58:30,534: INFO/MainProcess] Task tools.logs.event_log[07c155d5-6e91-4df3-bd66-f47074fb7e24] succeeded in 0.005738095031119883s: None
[2020-02-11 21:58:30,649: INFO/MainProcess] Received task: tools.logs.event_log[90064a85-9431-4c85-b5db-169d7f95f5f1]  
[2020-02-11 21:58:30,657: INFO/MainProcess] Task tools.logs.event_log[90064a85-9431-4c85-b5db-169d7f95f5f1] succeeded in 0.007219086983241141s: None
[2020-02-11 21:58:32,211: INFO/MainProcess] Received task: tools.logs.event_log[5345f19e-4b69-4299-90b3-c53bd4ea6d67]  
[2020-02-11 21:58:32,217: INFO/MainProcess] Task tools.logs.event_log[5345f19e-4b69-4299-90b3-c53bd4ea6d67] succeeded in 0.005172222037799656s: None
[2020-02-11 22:01:26,891: INFO/MainProcess] Received task: tools.logs.event_log[c46cb748-67ff-4e21-9864-945be27644ec]  
[2020-02-11 22:01:26,898: INFO/MainProcess] Task tools.logs.event_log[c46cb748-67ff-4e21-9864-945be27644ec] succeeded in 0.005560081917792559s: None
[2020-02-11 22:12:00,862: INFO/MainProcess] Received task: tools.logs.event_log[c741c6d4-d6e5-4798-a6f6-cc888d2c93ca]  
[2020-02-11 22:12:00,871: INFO/MainProcess] Task tools.logs.event_log[c741c6d4-d6e5-4798-a6f6-cc888d2c93ca] succeeded in 0.007702433038502932s: None
